state,state_abbreviation,[states that border it]
alabama,al,tennessee:::georgia:::florida:::mississippi
alaska,ak,
arizona,az,utah:::colorado:::new mexico:::california:::nevada
arkansas,ar,missouri:::tennessee:::mississippi:::louisiana:::texas:::oklahoma
california,ca,oregon:::nevada:::arizona
colorado,co,nebraska:::kansas:::oklahoma:::new mexico:::arizona:::utah:::wyoming
connecticut,ct,massachusetts:::rhode island:::new york
delaware,de,pennsylvania:::new jersey:::maryland
district of columbia,dc,maryland:::virginia
florida,fl,georgia:::alabama
georgia,ga,north carolina:::south carolina:::florida:::alabama:::tennessee
hawaii,hi,
idaho,id,montana:::wyoming:::utah:::nevada:::oregon:::washington
illinois,il,wisconsin:::indiana:::kentucky:::missouri:::iowa
indiana,in,michigan:::ohio:::kentucky:::illinois
iowa,ia,minnesota:::wisconsin:::illinois:::missouri:::nebraska:::south dakota
kansas,ks,nebraska:::missouri:::oklahoma:::colorado
kentucky,ky,indiana:::ohio:::west virginia:::virginia:::tennessee:::missouri:::illinois
louisiana,la,arkansas:::mississippi:::texas
maine,me,new hampshire
maryland,md,pennsylvania:::delaware:::virginia:::district of columbia:::west virginia
massachusetts,ma,new hampshire:::rhode island:::connecticut:::new york:::vermont
michigan,mi,ohio:::indiana:::wisconsin
minnesota,mn,wisconsin:::iowa:::south dakota:::north dakota
mississippi,ms,tennessee:::alabama:::louisiana:::arkansas
missouri,mo,iowa:::illinois:::kentucky:::tennessee:::arkansas:::oklahoma:::kansas:::nebraska
montana,mt,north dakota:::south dakota:::wyoming:::idaho
nebraska,ne,south dakota:::iowa:::missouri:::kansas:::colorado:::wyoming
nevada,nv,idaho:::utah:::arizona:::california:::oregon
new hampshire,nh,maine:::massachusetts:::vermont
new jersey,nj,new york:::delaware:::pennsylvania
new mexico,nm,colorado:::oklahoma:::texas:::arizona:::utah
new york,ny,vermont:::massachusetts:::connecticut:::new jersey:::pennsylvania
north carolina,nc,virginia:::south carolina:::georgia:::tennessee
north dakota,nd,minnesota:::south dakota:::montana
ohio,oh,michigan:::pennsylvania:::west virginia:::kentucky:::indiana
oklahoma,ok,kansas:::missouri:::arkansas:::texas:::new mexico:::colorado
oregon,or,washington:::idaho:::nevada:::california
pennsylvania,pa,new york:::new jersey:::delaware:::maryland:::west virginia:::ohio
rhode island,ri,massachusetts:::connecticut
south carolina,sc,north carolina:::georgia
south dakota,sd,north dakota:::minnesota:::iowa:::nebraska:::wyoming:::montana
tennessee,tn,kentucky:::virginia:::north carolina:::georgia:::alabama:::mississippi:::arkansas:::missouri
texas,tx,oklahoma:::arkansas:::louisiana:::new mexico
utah,ut,wyoming:::colorado:::new mexico:::arizona:::nevada:::idaho
vermont,vt,new hampshire:::massachusetts:::new york
virginia,va,maryland:::district of columbia:::north carolina:::tennessee:::kentucky:::west virginia
washington,wa,idaho:::oregon
west virginia,wv,pennsylvania:::maryland:::virginia:::kentucky:::ohio
wisconsin,wi,michigan:::illinois:::iowa:::minnesota
wyoming,wy,montana:::south dakota:::nebraska:::colorado:::utah:::idaho
