state,state_abbreviation,name,population
alabama,al,birmingham,284413
alabama,al,mobile,200452
alabama,al,montgomery,177857
alabama,al,huntsville,142513
alabama,al,tuscaloosa,75143
alaska,ak,anchorage,174431
arizona,az,phoenix,789704
arizona,az,tucson,330537
arizona,az,mesa,152453
arizona,az,tempe,106919
arizona,az,glendale,96988
arizona,az,scottsdale,88622
arkansas,ar,little rock,158915
arkansas,ar,fort smith,71384
arkansas,ar,north little rock,64388
california,ca,los angeles,2966850
california,ca,san diego,875538
california,ca,san francisco,678974
california,ca,san jose,629442
california,ca,long beach,361334
california,ca,oakland,339337
california,ca,sacramento,275741
california,ca,anaheim,219311
california,ca,fresno,218202
california,ca,santa ana,203713
california,ca,riverside,170876
california,ca,huntington beach,170505
california,ca,stockton,149779
california,ca,glendale,139060
california,ca,fremont,131945
california,ca,torrance,131497
california,ca,garden grove,123351
california,ca,san bernardino,118794
california,ca,pasadena,118072
california,ca,east los angeles,110017
california,ca,oxnard,108195
california,ca,modesto,106963
california,ca,sunnyvale,106618
california,ca,bakersfield,105611
california,ca,concord,103763
california,ca,berkeley,103328
california,ca,fullerton,102246
california,ca,inglewood,94162
california,ca,hayward,93585
california,ca,pomona,92742
california,ca,orange,91450
california,ca,ontario,88820
california,ca,santa monica,88314
california,ca,santa clara,87700
california,ca,citrus heights,85911
california,ca,norwalk,84901
california,ca,burbank,84625
california,ca,chula vista,83927
california,ca,santa rosa,83205
california,ca,downey,82602
california,ca,costa mesa,82291
california,ca,compton,81230
california,ca,carson,81221
california,ca,salinas,80479
california,ca,west covina,80292
california,ca,vallejo,80188
california,ca,el monte,79494
california,ca,daly city,78519
california,ca,thousand oaks,77797
california,ca,san mateo,77640
california,ca,simi valley,77500
california,ca,oceanside,76698
california,ca,richmond,74676
california,ca,lakewood,74654
california,ca,santa barbara,74542
california,ca,el cajon,73892
california,ca,ventura,73774
california,ca,westminster,71133
california,ca,whittier,68558
california,ca,south gate,66784
california,ca,alhambra,64767
california,ca,buena park,64165
california,ca,san leandro,63952
california,ca,alameda,63852
california,ca,newport beach,63475
california,ca,escondido,62480
california,ca,irvine,62134
california,ca,mountain view,58655
california,ca,fairfield,58099
california,ca,redondo beach,57102
california,ca,scotts valley,6037
colorado,co,denver,492365
colorado,co,colorado springs,215150
colorado,co,aurora,158588
colorado,co,lakewood,113808
colorado,co,pueblo,101686
colorado,co,arvada,84576
colorado,co,boulder,76685
colorado,co,fort collins,64632
connecticut,ct,bridgeport,142546
connecticut,ct,hartford,136392
connecticut,ct,new haven,126089
connecticut,ct,waterbury,103266
connecticut,ct,stamford,102466
connecticut,ct,norwalk,77767
connecticut,ct,new britain,73840
connecticut,ct,west hartford,61301
connecticut,ct,danbury,60470
connecticut,ct,greenwich,59578
connecticut,ct,bristol,57370
connecticut,ct,meriden,57118
delaware,de,wilmington,70195
district of columbia,dc,washington,638333
florida,fl,jacksonville,540920
florida,fl,miami,346865
florida,fl,tampa,271523
florida,fl,st. petersburg,238647
florida,fl,fort lauderdale,153256
florida,fl,orlando,128394
florida,fl,hollywood,117188
florida,fl,miami beach,96298
florida,fl,clearwater,85450
florida,fl,tallahassee,81548
florida,fl,gainesville,81371
florida,fl,kendall,73758
florida,fl,west palm beach,62530
florida,fl,largo,58977
florida,fl,pensacola,57619
georgia,ga,atlanta,425022
georgia,ga,columbus,169441
georgia,ga,savannah,141654
georgia,ga,macon,116860
georgia,ga,albany,74425
hawaii,hi,honolulu,762874
hawaii,hi,ewa,190037
hawaii,hi,koolaupoko,109373
idaho,id,boise,102249
illinois,il,chicago,3005172
illinois,il,rockford,139712
illinois,il,peoria,124160
illinois,il,springfield,100054
illinois,il,decatur,93939
illinois,il,aurora,81293
illinois,il,joliet,77956
illinois,il,evanston,73706
illinois,il,waukegan,67653
illinois,il,arlington heights,66116
illinois,il,elgin,63668
illinois,il,cicero,61232
illinois,il,oak lawn,60590
illinois,il,skokie,60278
illinois,il,champaign,58267
indiana,in,indianapolis,700807
indiana,in,fort wayne,172196
indiana,in,gary,151968
indiana,in,evansville,130496
indiana,in,south bend,109727
indiana,in,hammond,93714
indiana,in,muncie,77216
indiana,in,anderson,64695
indiana,in,terre haute,61125
iowa,ia,des moines,191003
iowa,ia,cedar rapids,110243
iowa,ia,davenport,103254
iowa,ia,sioux city,82003
iowa,ia,waterloo,75985
iowa,ia,dubuque,62321
kansas,ks,wichita,279212
kansas,ks,kansas city,161148
kansas,ks,topeka,118690
kansas,ks,overland park,81784
kentucky,ky,louisville,298451
kentucky,ky,lexington,204165
louisiana,la,new orleans,557515
louisiana,la,baton rouge,219419
louisiana,la,shreveport,205820
louisiana,la,metairie,164160
louisiana,la,lafayette,80584
louisiana,la,lake charles,75051
louisiana,la,kenner,66382
louisiana,la,monroe,57597
maine,me,portland,61572
maryland,md,baltimore,786775
maryland,md,silver spring,72893
maryland,md,dundalk,71293
maryland,md,bethesda,63022
massachusetts,ma,boston,562994
massachusetts,ma,worcester,161799
massachusetts,ma,springfield,152319
massachusetts,ma,new bedford,98478
massachusetts,ma,cambridge,95322
massachusetts,ma,brockton,95172
massachusetts,ma,fall river,92574
massachusetts,ma,lowell,92418
massachusetts,ma,quincy,84743
massachusetts,ma,newton,83622
massachusetts,ma,lynn,78471
massachusetts,ma,somerville,77372
massachusetts,ma,framingham,65113
massachusetts,ma,lawrence,63175
massachusetts,ma,waltham,58200
massachusetts,ma,medford,58076
michigan,mi,detroit,1203339
michigan,mi,grand rapids,181843
michigan,mi,warren,161134
michigan,mi,flint,159611
michigan,mi,lansing,130414
michigan,mi,sterling heights,108999
michigan,mi,ann arbor,107969
michigan,mi,livonia,104814
michigan,mi,dearborn,90660
michigan,mi,westland,84603
michigan,mi,kalamazoo,79722
michigan,mi,taylor,77568
michigan,mi,saginaw,77508
michigan,mi,pontiac,76715
michigan,mi,st. clair shores,76210
michigan,mi,southfield,75568
michigan,mi,clinton,72400
michigan,mi,royal oak,70893
michigan,mi,dearborn heights,67706
michigan,mi,troy,67102
michigan,mi,waterford,64250
michigan,mi,wyoming,59616
michigan,mi,redford,58441
michigan,mi,farmington hills,58056
minnesota,mn,minneapolis,370951
minnesota,mn,st. paul,270230
minnesota,mn,duluth,92811
minnesota,mn,bloomington,81831
minnesota,mn,rochester,57906
mississippi,ms,jackson,202895
missouri,mo,st. louis,453085
missouri,mo,kansas city,448159
missouri,mo,springfield,133116
missouri,mo,independence,111797
missouri,mo,st. joseph,76691
missouri,mo,columbia,62061
montana,mt,billings,66842
montana,mt,great falls,56725
nebraska,ne,omaha,314255
nebraska,ne,lincoln,171932
nevada,nv,las vegas,164674
nevada,nv,reno,100756
new hampshire,nh,manchester,90936
new hampshire,nh,nashua,67865
new jersey,nj,newark,329248
new jersey,nj,jersey city,223532
