name,area,[states it is in]
superior,82362,michigan:::wisconsin:::minnesota
huron,59570,michigan
michigan,58016,michigan:::indiana:::illinois:::wisconsin
erie,25667,new york:::pennsylvania:::ohio:::michigan
ontario,19684,new york
great salt lake,5180,utah
lake of the woods,4391,minnesota
iliamna,2675,alaska
okeechobee,1810,florida
pontchartrain,1632,louisiana
becharof,1186,alaska
red,1169,minnesota
st. clair,1119,michigan
champlain,1114,vermont:::new york
rainy,932,minnesota
salton sea,932,california
teshekpuk,816,alaska
naknek,630,alaska
winnebago,557,wisconsin
mille lacs,536,minnesota
flathead,510,montana
tahoe,497,nevada:::california
