name,length,[states through which it flows]
mississippi,3778,minnesota:::wisconsin:::iowa:::illinois:::missouri:::kentucky:::tennessee:::arkansas:::mississippi:::louisiana:::louisiana
missouri,3968,montana:::north dakota:::south dakota:::iowa:::nebraska:::missouri:::missouri
colorado,2333,colorado:::utah:::arizona:::nevada:::california
ohio,1569,pennsylvania:::west virginia:::kentucky:::indiana:::illinois:::illinois:::ohio
red,1638,new mexico:::texas:::oklahoma:::arkansas:::arkansas:::louisiana
arkansas,2333,colorado:::kansas:::oklahoma:::arkansas
canadian,1458,colorado:::new mexico:::texas:::oklahoma
connecticut,655,new hampshire:::vermont:::massachusetts:::connecticut
delaware,451,new york:::pennsylvania:::new jersey:::delaware
little missouri,901,wyoming:::montana:::south dakota:::north dakota
snake,1670,wyoming:::idaho:::oregon:::washington:::washington
chattahoochee,702,georgia:::georgia:::florida
cimarron,965,new mexico:::kansas:::oklahoma
green,1175,wyoming:::utah:::colorado:::utah
north platte,1094,colorado:::wyoming:::nebraska
potomac,462,west virginia:::maryland:::virginia:::district of columbia
republican,679,colorado:::nebraska:::kansas
rio grande,3033,colorado:::new mexico:::texas
san juan,579,colorado:::new mexico:::colorado:::utah
tennessee,1049,tennessee:::alabama:::tennessee:::kentucky
wabash,764,ohio:::indiana:::illinois
yellowstone,1080,wyoming:::montana:::north dakota
allegheny,523,pennsylvania:::new york:::pennsylvania
bighorn,541,wyoming:::montana
cheyenne,848,wyoming:::north dakota
clark fork,483,montana:::idaho
columbia,1953,washington:::oregon
cumberland,1105,kentucky:::tennessee:::kentucky
dakota,1142,north dakota:::south dakota
gila,805,new mexico:::arizona
hudson,492,new york:::new jersey
neosho,740,kansas:::oklahoma
niobrara,693,wyoming:::nebraska
ouachita,973,arkansas:::louisiana
pearl,788,michigan:::louisiana
pecos,805,new mexico:::texas
powder,603,wyoming:::montana
roanoke,660,virginia:::north carolina
rock,459,wisconsin:::illinois
smoky hill,869,colorado:::kansas
south platte,682,colorado:::nebraska
st. francis,684,missouri:::arkansas
tombigbee,658,mississippi:::alabama
washita,805,texas:::oklahoma
wateree catawba,636,north carolina:::south carolina
white,1110,arkansas:::missouri:::arkansas
