city_name,[city_name],county,[county],region,[region]
alameda,alameda:::,alameda county,alameda:::county:::,bay area,bay:::area:::
alamo,alamo:::,contra costa county,contra:::costa:::county:::,bay area,bay:::area:::
albany,albany:::,alameda county,alameda:::county:::,bay area,bay:::area:::
alviso,alviso:::,santa clara county,santa:::clara:::county:::,bay area,bay:::area:::
american canyon,american:::canyon:::,unknown,unknown:::,bay area,bay:::area:::
angwin,angwin:::,napa county,napa:::county:::,napa valley,napa:::valley:::
antioch,antioch:::,contra costa county,contra:::costa:::county:::,bay area,bay:::area:::
aptos,aptos:::,santa cruz county,santa:::cruz:::county:::,bay area,bay:::area:::
aromas,aromas:::,unknown,unknown:::,unknown,unknown:::
atherton,atherton:::,san mateo county,san:::mateo:::county:::,bay area,bay:::area:::
banta,banta:::,unknown,unknown:::,unknown,unknown:::
belmont,belmont:::,san mateo county,san:::mateo:::county:::,bay area,bay:::area:::
belvedere tiburon,belvedere:::tiburon:::,marin county,marin:::county:::,bay area,bay:::area:::
ben lomond,ben:::lomond:::,santa cruz county,santa:::cruz:::county:::,bay area,bay:::area:::
benicia,benicia:::,solano county,solano:::county:::,bay area,bay:::area:::
berkeley,berkeley:::,alameda county,alameda:::county:::,bay area,bay:::area:::
bethel island,bethel:::island:::,unknown,unknown:::,unknown,unknown:::
big sur,big:::sur:::,monterey county,monterey:::county:::,monterey,monterey:::
bodega bay,bodega:::bay:::,sonoma county,sonoma:::county:::,bay area,bay:::area:::
boulder creek,boulder:::creek:::,santa cruz county,santa:::cruz:::county:::,bay area,bay:::area:::
brentwood,brentwood:::,contra costa county,contra:::costa:::county:::,bay area,bay:::area:::
brisbane,brisbane:::,san mateo county,san:::mateo:::county:::,bay area,bay:::area:::
burlingame,burlingame:::,san mateo county,san:::mateo:::county:::,bay area,bay:::area:::
byron,byron:::,unknown,unknown:::,bay area,bay:::area:::
calistoga,calistoga:::,napa county,napa:::county:::,napa valley,napa:::valley:::
campbell,campbell:::,santa clara county,santa:::clara:::county:::,bay area,bay:::area:::
capitola,capitola:::,unknown,unknown:::,bay area,bay:::area:::
