restaurant_id,house_no,street_name,[street_name],city_name,[city_name],_,_,_
1,242,church st,church:::st:::,san francisco,san:::francisco:::,_,_,_
2,135,el camino real,el:::camino:::real:::,san carlos,san:::carlos:::,_,_,_
3,430,broadway,broadway:::,san francisco,san:::francisco:::,_,_,_
4,1103,e. el camino real,e.:::el:::camino:::real:::,sunnyvale,sunnyvale:::,_,_,_
5,833,w. el camino real,w.:::el:::camino:::real:::,sunnyvale,sunnyvale:::,_,_,_
6,unknown,unknown:::,unknown,unknown:::,_,_,_
7,155,san fernando,san:::fernando:::,san jose,san:::jose:::,_,_,_
8,2118,mt diablo st,mt:::diablo:::st:::,concord,concord:::,_,_,_
9,3005,alamo drive (corner nut tree),alamo:::drive:::(corner:::nut:::tree):::,vacaville,vacaville:::,_,_,_
11,907,irving,irving:::,san francisco,san:::francisco:::,_,_,_
12,10905,wolfe rd. cupertino,wolfe:::rd.:::cupertino:::,cupertino,cupertino:::,_,_,_
13,4857,fremont blvd,fremont:::blvd:::,fremont,fremont:::,_,_,_
14,1520,park st,park:::st:::,alameda,alameda:::,_,_,_
15,1231,park st,park:::st:::,alameda,alameda:::,_,_,_
16,2375,shoreline dr,shoreline:::dr:::,alameda,alameda:::,_,_,_
17,979,san pablo ave,san:::pablo:::ave:::,albany,albany:::,_,_,_
18,1477,solano ave,solano:::ave:::,albany,albany:::,_,_,_
19,2009,somersville rd,somersville:::rd:::,antioch,antioch:::,_,_,_
20,511,claverie way,claverie:::way:::,benicia,benicia:::,_,_,_
21,1034,1st st,1st:::st:::,benicia,benicia:::,_,_,_
22,2nd st,2nd:::st:::,benicia,benicia:::,_,_,_
23,2072,san pablo ave.,san:::pablo:::ave.:::,berkeley,berkeley:::,_,_,_
24,2000,university ave,university:::ave:::,berkeley,berkeley:::,_,_,_
25,1300,4th st,4th:::st:::,berkeley,berkeley:::,_,_,_
26,2922,domingo ave,domingo:::ave:::,berkeley,berkeley:::,_,_,_
27,1974,shattuck ave,shattuck:::ave:::,berkeley,berkeley:::,_,_,_
28,1135,2nd st,2nd:::st:::,brentwood,brentwood:::,_,_,_
29,8300,brentwood blvd # a,brentwood:::blvd:::#:::a:::,brentwood,brentwood:::,_,_,_
30,1631,lincoln ave,lincoln:::ave:::,calistoga,calistoga:::,_,_,_
31,1374,lincoln ave,lincoln:::ave:::,calistoga,calistoga:::,_,_,_
32,580,w hamilton ave,w:::hamilton:::ave:::,campbell,campbell:::,_,_,_
33,2060,s bascom ave,s:::bascom:::ave:::,campbell,campbell:::,_,_,_
34,3240,castro valley blvd,castro:::valley:::blvd:::,castro valley,castro:::valley:::,_,_,_
35,3774,castro valley blvd,castro:::valley:::blvd:::,castro valley,castro:::valley:::,_,_,_
36,1089,oak grove rd,oak:::grove:::rd:::,concord,concord:::,_,_,_
37,4391,treat blvd,treat:::blvd:::,concord,concord:::,_,_,_
38,1313,willow pass rd,willow:::pass:::rd:::,concord,concord:::,_,_,_
39,4050,port chicago hwy,port:::chicago:::hwy:::,concord,concord:::,_,_,_
40,4301,clayton rd,clayton:::rd:::,concord,concord:::,_,_,_
41,2090,diamond blvd,diamond:::blvd:::,concord,concord:::,_,_,_
42,1100,concord ave,concord:::ave:::,concord,concord:::,_,_,_
43,unknown,unknown:::,unknown,unknown:::,_,_,_
